,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
75,Akola,Residential,20140030,2014,3,10.5,166.5,8.5,,0.0,0.5,1.5,,8.6,146.8,8.0,,-1.4000000000000004,0.0,6.300000000000011,,11.7,175.0,9.0,,1.0,0.6999999999999993,-1.0,8.0,
76,Akola,Residential,20140040,2014,4,11.0,170.0,10.0,,1.5,0.5,3.5,,8.6,151.6,7.6,,0.0,-0.40000000000000036,4.799999999999983,,12.0,179.39999999999995,11.0,,1.0,0.3000000000000007,2.0,4.399999999999949,
77,Akola,Residential,20140050,2014,5,13.0,170.5,10.5,,0.5,2.0,0.5,,8.4,134.1,7.7,,-0.1999999999999993,0.10000000000000053,-17.5,,13.0,173.3,11.0,,1.0,1.0,0.0,-6.0999999999999375,
78,Akola,Residential,20140060,2014,6,10.0,159.0,10.0,,-0.5,-3.0,-11.5,,8.8,139.8,7.0,,0.40000000000000036,-0.7000000000000002,5.700000000000017,,10.0,166.0,10.0,,1.0,-3.0,-1.0,-7.300000000000011,
79,Akola,Residential,20140070,2014,7,9.5,162.0,9.0,,-1.0,-0.5,3.0,,9.0,148.9,7.6,,0.1999999999999993,0.5999999999999996,9.099999999999994,,10.7,167.39999999999995,9.0,,1.0,0.6999999999999993,-1.0,1.3999999999999488,
80,Akola,Residential,20140080,2014,8,9.0,126.5,8.0,,-1.0,-0.5,-35.5,,8.899999999999997,123.5,7.0,,-0.1000000000000032,-0.5999999999999996,-25.400000000000006,,10.0,165.5,9.0,,1.0,-0.6999999999999993,0.0,-1.8999999999999488,
81,Akola,Residential,20140090,2014,9,8.0,119.0,6.5,,-1.5,-1.0,-7.5,,7.5,111.5,6.0,,-1.3999999999999968,-1.0,-12.0,,8.5,128.0,7.5,,1.0,-1.5,-1.5,-37.5,
82,Akola,Residential,20140100,2014,10,8.0,146.5,7.0,,0.5,0.0,27.5,,8.0,141.4,7.0,,0.5,1.0,29.900000000000006,,10.2,162.5,8.6,,1.0,1.6999999999999993,1.0999999999999996,34.5,
83,Akola,Residential,20140110,2014,11,9.0,147.0,7.0,,0.0,1.0,0.5,,8.0,141.0,7.0,,0.0,0.0,-0.4000000000000057,,11.2,171.0,10.0,,1.0,1.0,1.4000000000000004,8.5,
84,Akola,Residential,20140120,2014,12,9.0,142.0,8.0,,1.0,0.0,-5.0,,8.4,131.4,6.7,,0.40000000000000036,-0.2999999999999998,-9.599999999999994,,10.3,154.7,8.6,,1.0,-0.8999999999999986,-1.4000000000000004,-16.30000000000001,
85,Akola,Residential,20150010,2015,1,8.0,141.5,7.0,,-1.0,-1.0,-0.5,,7.0,113.0,6.0,,-1.4000000000000004,-0.7000000000000002,-18.400000000000006,,9.0,148.0,8.0,,-11.0,-1.3000000000000007,-0.5999999999999996,-6.699999999999989,
86,Akola,Residential,20150020,2015,2,8.0,124.5,7.0,,0.0,0.0,-17.0,,7.0,115.0,6.0,,0.0,0.0,2.0,,8.5,149.0,8.0,,1.0,-0.5,0.0,1.0,
87,Akola,Residential,20150030,2015,3,8.0,120.0,7.0,,0.0,0.0,-4.5,,7.0,114.6,6.0,,0.0,0.0,-0.4000000000000057,,9.0,149.4,8.0,,1.0,0.5,0.0,0.4000000000000057,
88,Akola,Residential,20150040,2015,4,6.5,111.5,6.0,,-1.0,-1.5,-8.5,,6.0,109.1,5.0,,-1.0,-1.0,-5.5,,7.0,114.3,6.3,,1.0,-2.0,-1.7000000000000002,-35.10000000000001,
89,Akola,Residential,20150050,2015,5,7.0,113.0,7.0,,1.0,0.5,1.5,,6.0,110.4,6.0,,0.0,1.0,1.3000000000000114,,7.3,115.3,7.0,,1.0,0.2999999999999998,0.7000000000000002,1.0,
90,Akola,Residential,20150060,2015,6,7.0,132.0,6.0,,-1.0,0.0,19.0,,6.0,103.0,6.0,,0.0,0.0,-7.400000000000006,,8.6,140.6,7.6,,1.0,1.2999999999999998,0.5999999999999996,25.299999999999997,
91,Akola,Residential,20150070,2015,7,7.0,135.0,7.0,,1.0,0.0,3.0,,5.6,106.2,6.0,,-0.40000000000000036,0.0,3.200000000000003,,9.0,140.8,8.0,,1.0,0.40000000000000036,0.40000000000000036,0.20000000000001705,
92,Akola,Residential,20150090,2015,9,7.0,113.0,6.0,,,,,,6.0,106.8,5.6,,,,,,7.0,140.0,7.0,,2.0,,,,
93,Akola,Residential,20150100,2015,10,8.0,135.5,7.0,,1.0,1.0,22.5,,6.0,110.4,6.0,,0.0,0.40000000000000036,3.6000000000000085,,9.0,143.6,8.0,,1.0,2.0,1.0,3.5999999999999943,
94,Akola,Residential,20150110,2015,11,8.5,141.0,7.0,,0.0,0.5,5.5,,7.0,111.5,6.5,,1.0,0.5,1.0999999999999943,,10.5,166.0,9.5,,1.0,1.5,1.5,22.400000000000006,
95,Akola,Residential,20150120,2015,12,8.0,115.0,7.0,,0.0,-0.5,-26.0,,7.0,109.0,6.0,,0.0,-0.5,-2.5,,9.0,145.39999999999995,8.4,,1.0,-1.5,-1.0999999999999996,-20.60000000000005,
96,Amravati,Industrial,20060010,2006,1,12.4,,11.3,,,,,,12.4,,11.3,,,,,,12.4,,11.3,,,,,,
97,Amravati,Industrial,20060070,2006,7,19.3,,13.05,,,,,,13.94,,11.81,,,,,,24.660000000000004,,14.29,,6.0,,,,
98,Amravati,Industrial,20060080,2006,8,19.15,,11.95,,-1.1000000000000014,-0.15000000000000213,,,16.23,,9.99,,2.290000000000001,-1.8200000000000003,,,22.07,,13.91,,1.0,-2.5900000000000034,-0.379999999999999,,
99,Amravati,Industrial,20060110,2006,11,21.2,,12.6,,,,,,20.6,,12.1,,,,,,24.4,,14.0,,3.0,,,,
